Neighborhood,Raw_Mean,Hierarchical_Mean,Num_Houses,Hierarchical_SD,Deviation_from_Global,CI_Lower,CI_Upper,CI_Width
Northridge,12.673410791207203,12.668241204725804,71,0.03121303808240228,0.6232743839618351,12.606175051266266,12.728673591126025,0.12249853985975889
Northridge_Heights,12.63902871082316,12.637128634358755,166,0.020610934481766277,0.5888923035777918,12.596588017196751,12.677668669492352,0.08108065229560069
Stone_Brook,12.621676174802266,12.615943671933353,51,0.036827885413385324,0.5715397675568976,12.543155790938775,12.685907797656906,0.1427520067181316
Green_Hills,12.526344949731534,12.426507631981062,2,0.16813306788692822,0.47620854248616595,12.091718074886712,12.755346302175179,0.6636282272884664
Veenker,12.3888451309233,12.381210678210765,24,0.05401194364681987,0.33870872367793226,12.27726607622557,12.487010644231512,0.20974456800594155
Timberland,12.37834377627269,12.37560699451612,72,0.03107462680717891,0.3282073690273215,12.31437752652031,12.43671909641227,0.12234156989195988
Somerset,12.315527084113205,12.314596465731945,182,0.019434603995749086,0.26539067686783646,12.276584109738709,12.351906721273998,0.07532261153528985
Clear_Creek,12.217978863739,12.216145387434958,44,0.039946120618408916,0.1678424564936325,12.138119826335549,12.296588736527239,0.15846891019169007
Crawford,12.195981743631027,12.19490799586186,103,0.026045933951784624,0.14584533638565844,12.143309097793855,12.245276414531842,0.10196731673798709
College_Creek,12.181601334783055,12.18113074432545,267,0.016205686644907204,0.1314649275376869,12.14916767306659,12.212086521695394,0.06291884862880437
Bloomington_Heights,12.17891321539705,12.176375915897376,28,0.04952166252874835,0.1287768081516809,12.078587653505084,12.272750597703883,0.19416294419879954
Greens,12.167207245106814,12.157984921606738,8,0.09077260280967103,0.11707083786144601,11.981141833997345,12.337921473689532,0.35677963969218673
Gilbert,12.145529013930437,12.145266045209265,165,0.02094462064473945,0.09539260668506877,12.104411894878481,12.186248707249716,0.0818368123712343
Northwest_Ames,12.127041012561207,12.126473039256368,131,0.02305404528887266,0.07690460531583909,12.08168879804012,12.172143928934487,0.09045513089436596
Sawyer_West,12.086422784050328,12.086679427202029,125,0.024021628372261506,0.036286376804959275,12.039655393746232,12.134094918899635,0.09443952515340293
Mitchell,11.966400359403242,11.966891314386435,114,0.024898799111491197,-0.08373604784212674,11.917762698428447,12.016244924046037,0.09848222561758924
Landmark,11.827743504053696,11.902656157960863,1,0.21609899039793795,-0.22239290319167182,11.479260532748459,12.319871447712217,0.840610914963758
Blueste,11.856260720718325,11.865805751301023,10,0.08123385126034756,-0.19387568652704346,11.706866114107738,12.02568598878427,0.3188198746765316
North_Ames,11.86372301507237,11.863885512277465,443,0.012253605178811895,-0.18641339217299802,11.839882296037212,11.887715615674772,0.04783331963755977
Northpark_Villa,11.852273816435275,11.856618148641616,23,0.054450709967508275,-0.19786259081009305,11.749169332546765,11.961077789788142,0.21190845724137652
Sawyer,11.810398588984883,11.811057890028765,151,0.021500821415585437,-0.239737818260485,11.768665191909227,11.853956735633533,0.08529154372430625
South_and_West_of_Iowa_State_University,11.786074072909846,11.789320986364428,48,0.03871529469702514,-0.26406233433552195,11.71389368522155,11.864924448225162,0.15103076300361273
Edwards,11.726383298466608,11.727267260989334,194,0.018911173462346713,-0.3237531087787602,11.689949721193909,11.764116872735949,0.07416715154204034
Brookside,11.690855659880114,11.692537602594223,108,0.025324684970470017,-0.35928074736525417,11.642255360219318,11.741607092601651,0.09935173238233297
Old_Town,11.672595906160149,11.674041006205602,239,0.017189920352408936,-0.3775405010852193,11.640730836926503,11.707705207467994,0.06697437054149091
Briardale,11.56092535478711,11.569644423992116,30,0.04775974933474591,-0.48921105245825913,11.475391561060325,11.663344258950165,0.18795269788983937
Iowa_DOT_and_Rail_Road,11.474061768314572,11.47738380730254,93,0.027185372118171434,-0.5760746389307965,11.42292402191884,11.529535448375045,0.10661142645620458
Meadow_Village,11.449997035946868,11.458608363132399,37,0.04352358235891811,-0.6001393712984999,11.374046300816133,11.544771828223698,0.17072552740756564
