Gr_Liv_Area,Overall_Qual,Year_Built,Neighborhood,Sale_Price
1656.0,Above_Average,1960.0,North_Ames,215000.0
896.0,Average,1961.0,North_Ames,105000.0
1329.0,Above_Average,1958.0,North_Ames,172000.0
2110.0,Good,1968.0,North_Ames,244000.0
1629.0,Average,1997.0,Gilbert,189900.0
1604.0,Above_Average,1998.0,Gilbert,195500.0
1338.0,Very_Good,2001.0,Stone_Brook,213500.0
1280.0,Very_Good,1992.0,Stone_Brook,191500.0
1616.0,Very_Good,1995.0,Stone_Brook,236500.0
1804.0,Good,1999.0,Gilbert,189000.0
1655.0,Above_Average,1993.0,Gilbert,175900.0
1187.0,Above_Average,1992.0,Gilbert,185000.0
1465.0,Above_Average,1998.0,Gilbert,180400.0
1341.0,Good,1990.0,Gilbert,171500.0
1502.0,Very_Good,1985.0,Stone_Brook,212000.0
3279.0,Very_Good,2003.0,Stone_Brook,538000.0
1752.0,Very_Good,1988.0,Gilbert,164000.0
1856.0,Excellent,2010.0,Stone_Brook,394432.0
864.0,Below_Average,1951.0,Gilbert,141000.0
2073.0,Above_Average,1978.0,Northwest_Ames,210000.0
1844.0,Above_Average,1977.0,Northwest_Ames,190000.0
1173.0,Good,1974.0,Northwest_Ames,170000.0
1674.0,Good,2000.0,Somerset,216000.0
1004.0,Above_Average,1970.0,North_Ames,149000.0
1078.0,Average,1971.0,North_Ames,149900.0
1056.0,Average,1968.0,North_Ames,142000.0
882.0,Below_Average,1970.0,North_Ames,126000.0
864.0,Below_Average,1971.0,North_Ames,115000.0
1337.0,Good,1999.0,North_Ames,184000.0
987.0,Above_Average,1971.0,Briardale,96000.0
1092.0,Average,1971.0,Briardale,105500.0
1092.0,Above_Average,1971.0,Briardale,88000.0
1069.0,Above_Average,1977.0,Northpark_Villa,127500.0
1456.0,Above_Average,1975.0,Northpark_Villa,149900.0
836.0,Good,1975.0,Northpark_Villa,120000.0
1456.0,Above_Average,1978.0,Northpark_Villa,146000.0
2334.0,Excellent,2009.0,Northridge_Heights,376162.0
1704.0,Very_Good,2007.0,Northridge_Heights,306000.0
1940.0,Excellent,2009.0,Northridge_Heights,395192.0
1544.0,Very_Good,2009.0,Northridge_Heights,290941.0
1541.0,Good,2005.0,Northridge_Heights,220000.0
1698.0,Excellent,2005.0,Northridge_Heights,275000.0
1822.0,Very_Good,2005.0,Northridge_Heights,259000.0
1535.0,Good,2004.0,Northridge_Heights,214000.0
2364.0,Excellent,2009.0,Northridge_Heights,611657.0
1358.0,Good,2009.0,Northridge_Heights,224000.0
2696.0,Excellent,2003.0,Northridge_Heights,500000.0
2250.0,Very_Good,2002.0,Northridge_Heights,320000.0
1752.0,Excellent,2005.0,Northridge_Heights,319900.0
1370.0,Very_Good,2006.0,Northridge_Heights,205000.0
1626.0,Good,2003.0,Northridge_Heights,175500.0
1324.0,Above_Average,2005.0,Gilbert,199500.0
1145.0,Good,2006.0,Bloomington_Heights,160000.0
1269.0,Very_Good,2004.0,Bloomington_Heights,192000.0
1374.0,Good,2004.0,Gilbert,184500.0
1960.0,Above_Average,2002.0,Gilbert,216500.0
1733.0,Good,2004.0,Gilbert,185088.0
1430.0,Good,2000.0,Gilbert,180000.0
2035.0,Good,2001.0,Gilbert,222500.0
2599.0,Excellent,1999.0,Northridge,333168.0
2475.0,Very_Good,1998.0,Northridge,355000.0
1720.0,Good,1996.0,Northridge,260400.0
2622.0,Very_Good,1994.0,Northridge,325000.0
2270.0,Very_Good,1999.0,Northridge,290000.0
1839.0,Good,1998.0,Northridge,221000.0
3238.0,Very_Good,1995.0,Northridge,410000.0
1595.0,Very_Good,2005.0,Somerset,221500.0
1218.0,Good,2009.0,Somerset,204500.0
1547.0,Good,2009.0,Somerset,215200.0
1566.0,Very_Good,2008.0,Somerset,262500.0
1947.0,Good,2004.0,Somerset,254900.0
1468.0,Above_Average,2005.0,Somerset,271500.0
2084.0,Good,2004.0,Sawyer_West,233000.0
1659.0,Good,2004.0,Sawyer_West,181000.0
2110.0,Good,1994.0,Sawyer_West,205000.0
923.0,Above_Average,1980.0,Sawyer_West,143000.0
1845.0,Above_Average,1992.0,Sawyer_West,189000.0
918.0,Above_Average,1979.0,Sawyer_West,99500.0
752.0,Above_Average,1984.0,Sawyer_West,125000.0
1744.0,Good,1993.0,Sawyer_West,194500.0
1097.0,Above_Average,1984.0,Sawyer_West,152000.0
1564.0,Above_Average,1980.0,Sawyer_West,171000.0
1012.0,Average,1920.0,Sawyer_West,67500.0
1902.0,Above_Average,1978.0,Sawyer,112000.0
1155.0,Average,1961.0,Sawyer,148000.0
894.0,Average,1965.0,Sawyer,138500.0
900.0,Average,1967.0,Sawyer,122000.0
1040.0,Average,1963.0,Sawyer,133000.0
1040.0,Average,1962.0,Sawyer,127000.0
1494.0,Above_Average,1974.0,Sawyer,169000.0
1923.0,Good,1992.0,Northridge,190000.0
2349.0,Very_Good,1993.0,Northridge,362500.0
2225.0,Very_Good,1992.0,Northridge,285000.0
1488.0,Good,2004.0,Somerset,260000.0
1680.0,Good,2004.0,Somerset,190000.0
1200.0,Good,2004.0,Somerset,155000.0
1200.0,Good,2004.0,Somerset,151000.0
1200.0,Good,2004.0,Somerset,149500.0
1236.0,Above_Average,2005.0,Somerset,152000.0
1478.0,Good,2009.0,Somerset,222000.0
