MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',141.0,31770.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Average',1960.0,1960.0,b'Hip',b'CompShg',b'BrkFace',b'Plywood',b'Stone',112.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Good',b'Gd',b'BLQ',2.0,b'Unf',0.0,441.0,1080.0,b'GasA',b'Fair',b'Y',b'SBrkr',1656.0,0.0,0.0,1656.0,1.0,0.0,1.0,0.0,3.0,1.0,b'Typical',7.0,b'Typ',2.0,b'Good',b'Attchd',b'Fin',2.0,528.0,b'Typical',b'Typical',b'Partial_Pavement',210.0,62.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,5.0,2010.0,b'WD ',b'Normal',215000.0,-93.619754,42.054035
b'One_Story_1946_and_Newer_All_Styles',b'Residential_High_Density',80.0,11622.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'North_Ames',b'Feedr',b'Norm',b'OneFam',b'One_Story',b'Average',b'Above_Average',1961.0,1961.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'Rec',6.0,b'LwQ',144.0,270.0,882.0,b'GasA',b'Typical',b'Y',b'SBrkr',896.0,0.0,0.0,896.0,0.0,0.0,1.0,0.0,2.0,1.0,b'Typical',5.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'Unf',1.0,730.0,b'Typical',b'Typical',b'Paved',140.0,0.0,0.0,0.0,120.0,0.0,b'No_Pool',b'Minimum_Privacy',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',105000.0,-93.619756,42.053014
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',81.0,14267.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Above_Average',b'Above_Average',1958.0,1958.0,b'Hip',b'CompShg',b'Wd Sdng',b'Wd Sdng',b'BrkFace',108.0,b'Typical',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'ALQ',1.0,b'Unf',0.0,406.0,1329.0,b'GasA',b'Typical',b'Y',b'SBrkr',1329.0,0.0,0.0,1329.0,0.0,0.0,1.0,1.0,3.0,1.0,b'Good',6.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'Unf',1.0,312.0,b'Typical',b'Typical',b'Paved',393.0,36.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'Gar2',12500.0,6.0,2010.0,b'WD ',b'Normal',172000.0,-93.6193873,42.052659
b'One_Story_1946_and_Newer_All_Styles',b'Residential_Low_Density',93.0,11160.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Corner',b'Gtl',b'North_Ames',b'Norm',b'Norm',b'OneFam',b'One_Story',b'Good',b'Average',1968.0,1968.0,b'Hip',b'CompShg',b'BrkFace',b'BrkFace',b'None',0.0,b'Good',b'Typical',b'CBlock',b'Typical',b'Typical',b'No',b'ALQ',1.0,b'Unf',0.0,1045.0,2110.0,b'GasA',b'Excellent',b'Y',b'SBrkr',2110.0,0.0,0.0,2110.0,1.0,0.0,2.0,1.0,3.0,1.0,b'Excellent',8.0,b'Typ',2.0,b'Typical',b'Attchd',b'Fin',2.0,522.0,b'Typical',b'Typical',b'Paved',0.0,0.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,4.0,2010.0,b'WD ',b'Normal',244000.0,-93.61732,42.051245
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',74.0,13830.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Average',b'Average',1997.0,1998.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'GLQ',3.0,b'Unf',0.0,137.0,928.0,b'GasA',b'Good',b'Y',b'SBrkr',928.0,701.0,0.0,1629.0,0.0,0.0,2.0,1.0,3.0,1.0,b'Typical',6.0,b'Typ',1.0,b'Typical',b'Attchd',b'Fin',2.0,482.0,b'Typical',b'Typical',b'Paved',212.0,34.0,0.0,0.0,0.0,0.0,b'No_Pool',b'Minimum_Privacy',b'None',0.0,3.0,2010.0,b'WD ',b'Normal',189900.0,-93.638933,42.060899
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',78.0,9978.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Above_Average',b'Above_Average',1998.0,1998.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'BrkFace',20.0,b'Typical',b'Typical',b'PConc',b'Typical',b'Typical',b'No',b'GLQ',3.0,b'Unf',0.0,324.0,926.0,b'GasA',b'Excellent',b'Y',b'SBrkr',926.0,678.0,0.0,1604.0,0.0,0.0,2.0,1.0,3.0,1.0,b'Good',7.0,b'Typ',1.0,b'Good',b'Attchd',b'Fin',2.0,470.0,b'Typical',b'Typical',b'Paved',360.0,36.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',195500.0,-93.638925,42.060779
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',41.0,4920.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Stone_Brook',b'Norm',b'Norm',b'TwnhsE',b'One_Story',b'Very_Good',b'Average',2001.0,2001.0,b'Gable',b'CompShg',b'CemntBd',b'CmentBd',b'None',0.0,b'Good',b'Typical',b'PConc',b'Good',b'Typical',b'Mn',b'GLQ',3.0,b'Unf',0.0,722.0,1338.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1338.0,0.0,0.0,1338.0,1.0,0.0,2.0,0.0,2.0,1.0,b'Good',6.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'Fin',2.0,582.0,b'Typical',b'Typical',b'Paved',0.0,0.0,170.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,4.0,2010.0,b'WD ',b'Normal',213500.0,-93.633792,42.062978
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',43.0,5005.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'HLS',b'AllPub',b'Inside',b'Gtl',b'Stone_Brook',b'Norm',b'Norm',b'TwnhsE',b'One_Story',b'Very_Good',b'Average',1992.0,1992.0,b'Gable',b'CompShg',b'HdBoard',b'HdBoard',b'None',0.0,b'Good',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'ALQ',1.0,b'Unf',0.0,1017.0,1280.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1280.0,0.0,0.0,1280.0,0.0,0.0,2.0,0.0,2.0,1.0,b'Good',5.0,b'Typ',0.0,b'No_Fireplace',b'Attchd',b'RFn',2.0,506.0,b'Typical',b'Typical',b'Paved',0.0,82.0,0.0,0.0,144.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,1.0,2010.0,b'WD ',b'Normal',191500.0,-93.633826,42.060728
b'One_Story_PUD_1946_and_Newer',b'Residential_Low_Density',39.0,5389.0,b'Pave',b'No_Alley_Access',b'Slightly_Irregular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Stone_Brook',b'Norm',b'Norm',b'TwnhsE',b'One_Story',b'Very_Good',b'Average',1995.0,1996.0,b'Gable',b'CompShg',b'CemntBd',b'CmentBd',b'None',0.0,b'Good',b'Typical',b'PConc',b'Good',b'Typical',b'No',b'GLQ',3.0,b'Unf',0.0,415.0,1595.0,b'GasA',b'Excellent',b'Y',b'SBrkr',1616.0,0.0,0.0,1616.0,1.0,0.0,2.0,0.0,2.0,1.0,b'Good',5.0,b'Typ',1.0,b'Typical',b'Attchd',b'RFn',2.0,608.0,b'Typical',b'Typical',b'Paved',237.0,152.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,3.0,2010.0,b'WD ',b'Normal',236500.0,-93.632852,42.06112
b'Two_Story_1946_and_Newer',b'Residential_Low_Density',60.0,7500.0,b'Pave',b'No_Alley_Access',b'Regular',b'Lvl',b'AllPub',b'Inside',b'Gtl',b'Gilbert',b'Norm',b'Norm',b'OneFam',b'Two_Story',b'Good',b'Average',1999.0,1999.0,b'Gable',b'CompShg',b'VinylSd',b'VinylSd',b'None',0.0,b'Typical',b'Typical',b'PConc',b'Typical',b'Typical',b'No',b'Unf',7.0,b'Unf',0.0,994.0,994.0,b'GasA',b'Good',b'Y',b'SBrkr',1028.0,776.0,0.0,1804.0,0.0,0.0,2.0,1.0,3.0,1.0,b'Good',7.0,b'Typ',1.0,b'Typical',b'Attchd',b'Fin',2.0,442.0,b'Typical',b'Typical',b'Paved',140.0,60.0,0.0,0.0,0.0,0.0,b'No_Pool',b'No_Fence',b'None',0.0,6.0,2010.0,b'WD ',b'Normal',189000.0,-93.639068,42.059193
